start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):0:0x1e7","(35, 22):(0, 0)|(35, 22):8:0x3000034000120c00485001400000060000100000c00000000000118000e60203c01400004e0000780000814001c7e00000001c700081400780004e000140060203d8000e00001000000000c000010000060014000048500120c003400003000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1e9","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1ea","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):0:0x1eb","(4, 4):(0, 0)|(4, 4):1:0x4a96",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):0:0x1ec","(50, 24):(0, 0)|(50, 24):18:0x3800403601e08102f4c106020303a2800194840000300000000000000000000000000000000000300000300000000000000000000000000000000000000000000a00000c0000040000000000003000003000000000000000060e00060000000000003800304400306c00004200003600002200001c0000000000000060180096240096f80060f00006a00002200000c00000c000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1ed","(22, 35):(0, 0)|(22, 35):17:0x10000001820c00003041800000000000000000001c000001c40000000490000004ac0000006e00603003001001000001414000041c70400b83560e82406ac0486001400300000000000000000000300180000e36380000c286000008d8800",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1ee","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):0:0x1ef","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,7
"(3, 3):(0, 0)|(3, 3):0:0x1f1","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1f2","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1f3","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,10
"(3, 3):(0, 0)|(3, 3):0:0x1f4","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,3,54,54,2
"(3, 3):(0, 0)|(3, 3):0:0x1f5","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,54,4
"(3, 3):(0, 0)|(3, 3):0:0x1f6","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,7
"(3, 3):(0, 0)|(3, 3):0:0x1f7","(35, 22):(0, 0)|(35, 22):8:0x3000034000120c00485001400000060000100000c00000000000118000e60203c01400004e0000780000814001c7e00000001c700081400780004e000140060203d8000e00001000000000c000010000060014000048500120c003400003000",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1f9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,7
"(3, 3):(0, 0)|(3, 3):0:0x1fa","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,10
"(3, 3):(0, 0)|(3, 3):0:0x1fb","(4, 4):(0, 0)|(4, 4):1:0x6952",stable,0,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):0:0x1fc","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,54,7
"(3, 3):(0, 0)|(3, 3):0:0x1fd","(22, 35):(0, 0)|(22, 35):17:0x10000001820c00003041800000000000000000001c000001c40000000490000004ac0000006e00603003001001000001414000041c70400b83560e82406ac0486001400300000000000000000000300180000e36380000c286000008d8800",survival,0,3,3,54,54,99
"(3, 3):(0, 0)|(3, 3):0:0x1fe","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,54,5
"(3, 3):(0, 0)|(3, 3):0:0x1ff","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,54,7
