start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):1:0xbfdcbf","(10, 4):(0, 0)|(10, 4):1:0x6ac0000033",stable,0,5,5,10,4,17
"(5, 5):(0, 0)|(5, 5):1:0xbfdcdf","(49, 53):(0, 0)|(49, 53):23:0x318000000000018c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600030000000030001800000000000000000000000000000000c000000018070a00800200a1c0e00a00280380000090012000000003020600000000002800000000000140000000000004000000000000000000000000080000000000004000000000000200000000000000000000000000018000000000000c00000000000000000000000000000000000000000000000000000000000000300000000000018000000000000000000000000000000000000000000000000000000000000000000800c000000000800d00000000060048000011003076c000018a03026400000a0c00104000000361c064000000131180c00000006314000000000000c00000000000040000000",survival,0,5,5,49,53,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdcf7","(3, 3):(0, 0)|(3, 3):1:0x8f",spaceship,4,5,5,3,3,45
"(5, 5):(0, 0)|(5, 5):1:0xbfdcfb","(20, 29):(0, 0)|(20, 29):18:0x2000000100000008000000000000000038000003700060064103000a14000010a0000222000010800000c40080004404182090212480800920280030900000024000000c00000",survival,0,5,5,20,29,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdcfd","(12, 16):(0, 0)|(12, 16):4:0xc000c0000000000c000c000000003800000000000000007",oscillator,2,5,5,12,16,53
"(5, 5):(0, 0)|(5, 5):1:0xbfdcfe","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,6
"(5, 5):(0, 0)|(5, 5):1:0xbfdd3f","(27, 47):(0, 0)|(27, 47):26:0x70000000180000000000380000000000a00a00000001c01200000002001800000003040300800000160903800000285c0cc0000040800f800004010004000014000003800028000007c00020000000800000000001a0000000000180000001800100008008400000038000800001410040c00004800008800008000011000008c000ac0000008000000000044000000000048000000000060000000",survival,0,5,5,27,47,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdd5f","(19, 10):(0, 0)|(19, 10):4:0x201409018c0300100a01000000000000000000000602804",stable,0,5,5,19,10,96
"(5, 5):(0, 0)|(5, 5):1:0xbfdd77","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,5,5,3,3,11
"(5, 5):(0, 0)|(5, 5):1:0xbfdd7b","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000000000000c0000018340000058c4000011b8000000380c70718001c8a2700010d584000e0280e01980880cc1802a8030000e3800000028000000c018000011b1000002222000002c6800000202000",survival,0,5,5,22,35,99
