start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 4):(0, 0)|(4, 4):1:0x774b","(41, 26):(0, 0)|(41, 26):5:0x1000004c0000241000083200026080004120000193000040c00000000000000000000003000000c000003000000000038000000000008203802080e048204010000e4438039200000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000c000002",survival,0,4,4,41,26,99
"(4, 4):(0, 0)|(4, 4):1:0x774d","(34, 34):(0, 0)|(34, 34):1:0x60000000240000040a0000038100000150000000e400000008c00000030800000ca70000071c800000c6c000020100000080300000200000000000000000e00000000000000000000000006000000018000000000000000000000000000000000000000000000000000000000000000000200000001e000000078000000000000000000000001e0000000380000000400",survival,0,4,4,34,34,99
"(4, 4):(0, 0)|(4, 4):1:0x774f","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,4,4,3,3,11
"(4, 4):(0, 0)|(4, 4):1:0x7759","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,10
"(4, 4):(0, 0)|(4, 4):1:0x775b","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,11
"(4, 4):(0, 0)|(4, 4):1:0x775d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,16
"(4, 4):(0, 0)|(4, 4):1:0x775e","(16, 20):(0, 0)|(16, 20):1:0x40000a00009000062302063ff0b40918d830cd0e0201c00000000000000000040001b00009000060",survival,0,4,4,16,20,99
"(4, 4):(0, 0)|(4, 4):1:0x775f","(34, 20):(0, 0)|(34, 20):8:0x80001c0002600062000518002380000400006000080000f200041000120400000024100243101093800a3800000000000000000000000000018c0029400100000000007c0006200002000d2000540007c0001000",survival,0,4,4,34,20,99
"(4, 4):(0, 0)|(4, 4):1:0x7769","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,29
"(4, 4):(0, 0)|(4, 4):1:0x776b","(18, 25):(0, 0)|(18, 25):11:0x400000200040100048000014000004000000000000000000000000000000000000000000000000000000000000000000000031860018c3",survival,0,4,4,18,25,99
"(4, 4):(0, 0)|(4, 4):1:0x776d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,7
"(4, 4):(0, 0)|(4, 4):1:0x776f","(6, 2):(0, 0)|(6, 2):0:0xf0f",stable,0,4,4,6,2,4
"(4, 4):(0, 0)|(4, 4):1:0x7779","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,8
"(4, 4):(0, 0)|(4, 4):1:0x777b","(10, 6):(0, 0)|(10, 6):3:0x10a246000624508",stable,0,4,4,10,6,16
"(4, 4):(0, 0)|(4, 4):1:0x777d","(30, 26):(0, 0)|(30, 26):21:0x400000780000310000118000020000000c0000018000041600000a40008060001c0000000000030000009000002400000700000000000000000000000000000000000000001860000918000280000040000001000000a00000280000040000",survival,0,4,4,30,26,99
