start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):4:0x177f7f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,12
"(5, 5):(0, 0)|(5, 5):4:0x177fbf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,12
"(5, 5):(0, 0)|(5, 5):4:0x177fdf","(50, 24):(0, 0)|(50, 24):3:0x1c00006c0200810780832f40c040600145c02129800c00000000000000000000000000000000000c00000c0000000000000000000000000000000000000000000000000050000030000020000000000c00000c00000000000000007060000060000000001c0000220c00360c004200006c00004400003800000000000000001806002469001f69000f06000560000440000300000300",survival,0,5,5,50,24,99
"(5, 5):(0, 0)|(5, 5):4:0x177fef","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):4:0x177ff7","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):4:0x177ffb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,2
"(5, 5):(0, 0)|(5, 5):4:0x177ffd","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):4:0x177ffe","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,4
"(5, 5):(0, 0)|(5, 5):4:0x179fff","(19, 45):(0, 0)|(19, 45):12:0x6000000000030000000030000000000c400c00000064006000000220000000000b0e000080003db8000c0000404060500001dc0300000004408000008000040000030000200003380000000018200000000042000000000110000000030200000000120000000000500",survival,0,5,5,19,45,99
"(5, 5):(0, 0)|(5, 5):4:0x17afff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x17b7ff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,32
"(5, 5):(0, 0)|(5, 5):4:0x17bbff","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17beff","(19, 45):(0, 0)|(19, 45):12:0x6000000000030000000030000000000c400c00000064006000000220000000000b0e000080003db8000c0000404060500001dc0300000004408000008000040000030000200003380000000018200000000042000000000110000000030200000000120000000000500",survival,0,5,5,19,45,99
"(5, 5):(0, 0)|(5, 5):4:0x17bf7f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x17bfbf","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x17bfdf","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17bfef","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,5,5,4,4,25
"(5, 5):(0, 0)|(5, 5):4:0x17bff7","(24, 50):(0, 0)|(24, 50):43:0x180000000000090000000003024000000000c06000000300000002000060c00681c000203001b098000000000036000000000edc0000000e03334000030561f0480000c114b0000000025128048000008d4400c0000020e0000000000000003600000000000400000000000c10600000000304180000000080000000000010800000000004800000000000e00000000000",survival,0,5,5,24,50,99
"(5, 5):(0, 0)|(5, 5):4:0x17bffb","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17bffd","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17bffe","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,3
"(5, 5):(0, 0)|(5, 5):4:0x17cfff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,18
"(5, 5):(0, 0)|(5, 5):4:0x17d7ff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,12
"(5, 5):(0, 0)|(5, 5):4:0x17dbff","(29, 16):(0, 0)|(29, 16):7:0x180024007c07f8017003b00262020900090011000e70047006580028e0080020065004700e701100090209026203b0017007f8007c002400180",survival,0,5,5,29,16,99
"(5, 5):(0, 0)|(5, 5):4:0x17ddff","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,8
"(5, 5):(0, 0)|(5, 5):4:0x17deff","(26, 40):(0, 0)|(26, 40):21:0x6000000000600000000000000000000000060000c000060000c000000000000000000000000c000000000c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000010000000007",survival,0,5,5,26,40,99
"(5, 5):(0, 0)|(5, 5):4:0x17df7f","(31, 21):(0, 0)|(31, 21):7:0xe0000080004200000400011000248000080000000000000000000000000000000000000000000000000183003226018a30098c8130191700751041181040d14515980cc000000050000000001c0000e00",survival,0,5,5,31,21,99
"(5, 5):(0, 0)|(5, 5):4:0x17dfbf","(31, 21):(0, 0)|(31, 21):7:0xe0000080004200000400011000248000080000000000000000000000000000000000000000000000000183003226018a30098c8130191700751041181040d14515980cc000000050000000001c0000e00",survival,0,5,5,31,21,99
"(5, 5):(0, 0)|(5, 5):4:0x17dfdf","(14, 24):(0, 0)|(14, 24):9:0x6000009000002800006800000c00000000000003070003050000070000800030800048800028000010",survival,0,5,5,14,24,99
"(5, 5):(0, 0)|(5, 5):4:0x17dfef","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,17
"(5, 5):(0, 0)|(5, 5):4:0x17dff7","(3, 4):(0, 0)|(3, 4):1:0x696",stable,0,5,5,3,4,15
"(5, 5):(0, 0)|(5, 5):4:0x17dffb","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,15
"(5, 5):(0, 0)|(5, 5):4:0x17dffd","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,59
"(5, 5):(0, 0)|(5, 5):4:0x17dffe","(36, 33):(0, 0)|(36, 33):6:0x2000000018000000140000000000000000000000040000000780000005400000067000000180000000d000000030000000280000001800000000006000068030000c3000000550000002200000002000000000000000000000000000000300e0000180480000008400000002000000400000000100000008300000036c0000008400000024000000060000080000000200000007",survival,0,5,5,36,33,99
"(5, 5):(0, 0)|(5, 5):4:0x17e7ff","(17, 21):(0, 0)|(17, 21):16:0x14000100071080289980e00c010000303801c10000800003d00017401062014e4009640031c0000c000010",survival,0,5,5,17,21,99
"(5, 5):(0, 0)|(5, 5):4:0x17ebff","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,17
"(5, 5):(0, 0)|(5, 5):4:0x17edff","(24, 17):(0, 0)|(24, 17):3:0x1000100012000c0006000118008c0020000000400039801a4031a018f4000d00028000818000c0000040003000180004060003",survival,0,5,5,24,17,99
"(5, 5):(0, 0)|(5, 5):4:0x17eeff","(13, 20):(0, 0)|(13, 20):1:0x40000a0000a001c40000000010000100001000000001c00000000000000038000",oscillator,2,5,5,13,20,85
"(5, 5):(0, 0)|(5, 5):4:0x17ef7f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,15
"(5, 5):(0, 0)|(5, 5):4:0x17efbf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,15
"(5, 5):(0, 0)|(5, 5):4:0x17efdf","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,5,5,4,4,17
"(5, 5):(0, 0)|(5, 5):4:0x17efef","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,5,5,1,1,10
"(5, 5):(0, 0)|(5, 5):4:0x17eff7","(6, 8):(0, 0)|(6, 8):5:0x60946a0a040",survival,0,5,5,6,8,99
"(5, 5):(0, 0)|(5, 5):4:0x17effb","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):4:0x17effd","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
