start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):0:0x147","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,7,7,13
"(3, 3):(0, 0)|(3, 3):0:0x14f","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,3,3,4,4,3
"(3, 3):(0, 0)|(3, 3):0:0x155","(3, 3):(0, 0)|(3, 3):1:0xaa",stable,0,3,3,3,3,2
"(3, 3):(0, 0)|(3, 3):0:0x157","(23, 35):(0, 0)|(23, 35):13:0xc18000003c7800000c018000031b1800003366000003c78000003560003804a40387d03605f00a0aa0a001025204000480240082980ca0a84101042c000000014400000447000000700000000000000000000000000000608300000c10600000020000",survival,0,3,3,23,35,99
"(3, 3):(0, 0)|(3, 3):0:0x15f","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,3,4,4,4
"(3, 3):(0, 0)|(3, 3):0:0x16d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):0:0x16f","(22, 35):(0, 0)|(22, 35):11:0x46c400001850c000071b1c00006003000000000000000000003000a0018480d580905c1ab07400838e080000a0a00000200200300301801d8000000d480000024800000008e000000e00000000000000000000608300000c10600000020000",survival,0,3,3,22,35,99
"(3, 3):(0, 0)|(3, 3):0:0x17d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,6
"(3, 3):(0, 0)|(3, 3):0:0x17f","(22, 35):(0, 0)|(22, 35):11:0x46c400001850c000071b1c00006003000000000000000000003000a0018480d580905c1ab07400838e080000a0a00000200200300301801d8000000d480000024800000008e000000e00000000000000000000608300000c10600000020000",survival,0,3,3,22,35,99
"(3, 3):(0, 0)|(3, 3):0:0x1ef","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,7,7,7
